variant,sensing,noise_pct,test_cv_rmse_mean,test_cv_rmse_std,test_cv_rmse_count,err_R_s_mean,err_R_s_std,err_R_s_count,err_G_s_mean,err_G_s_std,err_G_s_count,err_R_inf_mean,err_R_inf_std,err_R_inf_count,err_G_inf_mean,err_G_inf_std,err_G_inf_count,ident_mean_err_mean,ident_mean_err_std,ident_mean_err_count,err_R_zw_mean,err_R_zw_std,err_R_zw_count,err_R_wo_mean,err_R_wo_std,err_R_wo_count
V4F_fixed_Qint,S2,5,22.88892,0.22128224510791591,5,113.05580766728,2.6695831445501983,5,53.05806543396612,0.5861387793558084,5,33.21,0.3554574517435252,5,49.729538214504885,0.7906259571945975,5,73.13290383364,1.1815579324128493,5,148.878,2.596260772726813,5,107.298,2.679845144779826,5
V4F_fixed_Qint,S2,10,24.77234,0.41583059411255563,5,114.40749271557664,2.6412932497979207,5,53.3542041340657,0.5717966278196016,5,33.088,0.4446571713129118,5,49.458164555153736,0.9875051039601369,5,73.74774635778832,1.2781619998577176,5,150.148,2.471754437641415,5,108.66600000000001,2.668441492706925,5
V4F_fixed_Qint,S3,0,22.0334,0.0,5,113.71764775651693,0.0,5,53.2092922368641,0.0,5,33.12,0.0,5,49.521141765387256,0.0,5,73.41882387825846,0.0,5,149.54,0.0,5,107.96,0.0,5
V4F_fixed_Qint,S3,5,22.88892,0.22128224510791591,5,113.05580766728,2.6695831445501983,5,53.05806543396612,0.5861387793558084,5,33.21,0.3554574517435252,5,49.729538214504885,0.7906259571945975,5,73.13290383364,1.1815579324128493,5,148.878,2.596260772726813,5,107.298,2.679845144779826,5
V4F_fixed_Qint,S3,10,24.77234,0.41583059411255563,5,114.40749271557664,2.6412932497979207,5,53.3542041340657,0.5717966278196016,5,33.088,0.4446571713129118,5,49.458164555153736,0.9875051039601369,5,73.74774635778832,1.2781619998577176,5,150.148,2.471754437641415,5,108.66600000000001,2.668441492706925,5
V4_neural_forcing,S1,0,7.6392,0.4005417393980307,5,141.8688190384517,1.089864925370668,5,58.65460238889909,0.18637008160011137,5,128.574,1.552765275242842,5,56.24902029932905,0.2978143982257758,5,135.22140951922586,1.1130593371666941,5,146.248,0.7524426888474653,5,141.166,1.15994827470883,5
V4_neural_forcing,S1,5,9.67876,0.5698180174406566,5,140.73215559697786,1.3708359399112229,5,58.45898088481776,0.23624120930430542,5,127.57000000000001,2.061261749511683,5,56.05461162669104,0.39893297437310216,5,134.15107779848893,1.7054795596014274,5,145.392,0.8963648810612832,5,139.98399999999998,1.4626448646202548,5
V4_neural_forcing,S1,10,13.933179999999998,0.6059460264743061,5,141.16070582889296,1.218370744128883,5,58.53302754242528,0.20965222713153106,5,127.91,1.9904773296875342,5,56.12027584904369,0.382996192877727,5,134.5353529144465,1.003432327910155,5,145.71999999999997,0.966824699725856,5,140.428,1.275566540796686,5
V4_neural_forcing,S2,0,7.647239999999999,0.4018871271887172,5,141.98436393187325,1.102078402112945,5,58.67432973010468,0.18832153372823493,5,128.656,1.545972186037002,5,56.264538370938055,0.2960459824366401,5,135.32018196593663,1.110910158314525,5,146.34,0.7689278249614813,5,141.286,1.1677456914928017,5
V4_neural_forcing,S2,5,9.68436,0.5725827782949816,5,140.85044502638524,1.3575704843635141,5,58.479404691310265,0.23374374136185994,5,127.652,2.061630422747977,5,56.070760093028994,0.39822633134383145,5,134.25122251319263,1.6995571841543484,5,145.482,0.8801533957214502,5,140.10399999999998,1.4512684107359313,5
V4_neural_forcing,S2,10,13.941460000000001,0.6041169158366619,5,141.2493312014954,1.2134852953163624,5,58.54826816764248,0.20867845467267115,5,127.97199999999998,2.0022911876148295,5,56.13193309249211,0.3850912903259195,5,134.6106656007477,0.9988342742424817,5,145.788,0.9645568930861531,5,140.52,1.2751666557748396,5
V4_neural_forcing,S3,0,7.64276,0.4036534317951477,5,141.95505807605787,1.0273545346670612,5,58.669413822504524,0.1756698441412411,5,128.696,1.617306402633716,5,56.272054889285116,0.30949306635961654,5,135.32552903802895,1.1162874116107648,5,146.31199999999998,0.717927572948692,5,141.256,1.0921217880804237,5
