timestamp,T_oa_C,I_sol_Wm2,Q_int_W,Q_cw_W,Q_cw_meas_W,T_z,T_z_meas_C,sigma_cw_W,split,T_z_obs
2023-09-15 09:00:00,26.733091,478.6092,42702.97,78617.43195626758,82899.57076096752,23.393087159781338,23.692627531168238,3092.350327284819,test,
2023-09-15 10:00:00,28.632784,707.0901,48102.91,97670.61923869491,102723.48978109342,23.488353096193475,23.475127555061135,3547.618197639524,test,
2023-09-15 11:00:00,29.437393,859.88995,49560.277,108091.50940441228,111426.6399237166,23.54045754702206,23.443078478252957,3809.9077370445248,test,
2023-09-15 12:00:00,31.731943,909.9177,49899.992,118035.32487558144,121928.33938768975,23.590176624377907,23.377623178332232,4066.8297390763296,test,
2023-09-15 13:00:00,32.35792,882.76733,49972.953,120918.9654863721,122847.3090655428,23.60459482743186,23.436614089123395,4142.373304383008,test,
2023-09-15 14:00:00,33.052536,774.11896,49972.953,120836.18619824534,129956.55476718883,23.604180930991227,24.126875084850095,4140.19872777181,test,
2023-09-15 15:00:00,32.623676,616.6645,49899.992,115719.47898639791,115110.87196269119,23.57859739493199,23.670820624880196,4006.4820023550647,test,
2023-09-15 16:00:00,31.948114,419.48242,49560.277,107798.61360992413,108565.36651167326,23.53899306804962,23.591376622299983,3802.4317201758595,test,
2023-09-15 17:00:00,31.624855,228.81078,48102.91,99354.30137901449,102393.73332776045,23.496771506895072,23.418097449333988,3589.449746445942,test,
2023-09-15 18:00:00,31.171446,42.851643,42702.97,86592.09807024269,92473.72338794643,23.432960490351213,24.166754073782624,3278.471031347673,test,
2023-09-15 19:00:00,29.596539,0.0,29999.998,67983.76133647891,66706.50953585807,23.339918806682395,23.731421953336323,2856.50356640943,test,
2023-09-15 20:00:00,28.549599,2.582136,17297.02,51858.66402205406,51538.57038458505,23.25929332011027,23.042974685670632,2533.8486400606203,test,
2023-09-15 21:00:00,26.768322,21.236008,11897.035,41221.3623736065,39429.76147114429,23.206106811868032,23.124022295456644,2351.442247715764,test,
2023-09-15 22:00:00,24.919323,0.0,10439.478,33122.24929611531,36195.26568462018,23.165611246480577,23.101337883469302,2233.2431705012805,test,
2023-09-15 23:00:00,24.081825,0.0,10098.905,29488.757853926727,30043.110177295668,23.147443789269634,23.191205382754415,2186.92207355241,test,
2023-09-16 00:00:00,22.933445,15.490483,10000.037,25982.69796357755,28157.249661315538,23.129913489817888,22.919545692028457,2146.529881953626,test,
2023-09-16 01:00:00,21.146376,0.0,10000.165,19931.273025307662,24311.880009470406,23.09965636512654,23.231301322135046,2087.469779414404,test,
2023-09-16 02:00:00,21.044596,0.0,10000.74,18703.421455437307,20370.797127589616,23.093517107277187,23.52914354688898,2077.218374828641,test,
2023-09-16 03:00:00,20.698027,0.5173115,10003.316,17113.468875130166,20591.030339604717,23.08556734437565,22.691478911674402,2064.8447242458797,test,
2023-09-16 04:00:00,20.952185,10.1966715,10014.836,17415.861432388625,19797.094352500437,23.087079307161943,22.74863528603432,2067.119011205921,test,
2023-09-16 05:00:00,21.397593,0.0,10065.922,17786.285091230526,22177.531972137458,23.088931425456153,22.94398385886696,2069.9557346986617,test,
2023-09-16 06:00:00,21.891676,4.8932614,10284.556,18935.246379939486,22923.088845722825,23.094676231899697,22.963637563867348,2079.1077893947945,test,
2023-09-16 07:00:00,24.199198,105.3234,11094.553,28559.23158964515,30053.72843918643,23.142796157948226,23.742335920372003,2175.79106030241,test,
2023-09-16 08:00:00,24.665037,304.6774,13000.0,38158.787690954196,40770.13837856686,23.19079393845477,23.491306704459223,2304.4486911708377,test,
2023-09-16 09:00:00,26.287138,539.0279,14905.445,52376.759200196684,58031.43849322765,23.261883796000983,23.545180501636462,2543.421399195157,test,
2023-09-16 10:00:00,28.450811,721.9808,15715.437,66169.10074450502,70277.59425088679,23.330845503722525,23.251535795668506,2817.8919255363235,test,
2023-09-16 11:00:00,29.707338,894.91534,15934.041,77064.35749049306,75793.89596361539,23.385321787452465,23.29942776541642,3056.9631459800526,test,
2023-09-16 12:00:00,30.559614,923.9714,15984.999,82331.16484812442,87414.81132558543,23.411655824240622,22.976144200111,3178.140751245,test,
2023-09-16 13:00:00,31.568521,853.12274,15995.943,84555.05338827365,84051.4754392527,23.42277526694137,23.657297335355715,3230.2633558495545,test,
2023-09-16 14:00:00,32.367466,776.6226,15995.943,85665.64728148123,93265.485371827,23.428328236407406,23.575644617850042,3256.4924092863534,test,
2023-09-16 15:00:00,32.460957,627.41943,15984.999,82305.72325142659,88559.84608173458,23.411528616257133,23.797327825660616,3177.547619146939,test,
